,celltype,tf,pval,pval_adj,mean_difference,Correlation,corr_padj
427,cMono,NFIA,5.161445844114321e-237,1.9631927942791972e-235,0.0009456233553373425,-0.0002967811158459,0.9693911346726216
428,cMono,NFIB,1.6731511722117994e-136,8.692224382466177e-136,0.0008090323524931678,0.0024886467199797,0.7471670552748718
429,cMono,NFIC,4.370976798754599e-36,5.870227352677992e-36,0.000255871803502941,-0.0385541550304833,7.215190139882929e-13
430,cMono,NFIL3,7.194267272072265e-132,3.246565527439391e-131,0.009769795858507346,0.0482005396796118,1.2700115104238868e-19
431,cMono,NFIX,1.7877799603310054e-81,3.4430120393354806e-81,0.0009720777385164442,0.0014393353928907,0.8659380428536532
432,cMono,NFKB1,1.5229344703892615e-139,8.536448478760862e-139,-0.004354508107138486,-0.0084935143074595,0.1753344093536952
433,cMono,NFKB2,5.464161311753658e-84,1.083674450096396e-83,-0.0020989229745359862,0.0029199363028321,0.7003483378775317
434,cMono,NFYA,0.28061376060678445,0.2879129624722788,0.0004217418917787652,-0.0010686742353325,0.9032722273193032
435,cMono,NFYB,3.3955512242778563e-09,3.8429989945333864e-09,0.0011394146366397462,0.0046378748113195,0.5078342388160022
436,cMono,NHLH1,1.1180763334992165e-131,5.024267068255972e-131,-0.002684021772398612,-0.0094084907641382,0.1281880478238522
437,cMono,NHLH2,2.913774254795969e-107,8.386944814480289e-107,-0.003038323613492183,0.0,0.0
438,cMono,NKX1-1,6.364812423576429e-32,8.337669410958054e-32,8.928902893974057e-06,0.0,0.0
439,cMono,NKX1-2,5.707413404620574e-74,1.014757141222189e-73,-9.527996229426324e-05,0.0,0.0
440,cMono,NKX2-2,1.542982911460983e-135,7.825127622409271e-135,-0.00043071698922776463,0.0,0.0
441,cMono,NKX2-3,5.707186817235291e-100,1.4037307067795809e-99,-0.00042936257991384695,0.0020667634102693,0.798957009565594
442,cMono,NKX2-4,2.8731927758972536e-142,1.6812913771047115e-141,-0.000530596930185691,0.0,0.0
443,cMono,NKX2-5,1.7854033804797044e-123,6.914380364403218e-123,-0.0005549491800073457,0.0,0.0
444,cMono,NKX2-6,1.1838192573790531e-190,1.7757288860685797e-189,-0.00045024950045095304,0.0,0.0
445,cMono,NKX2-8,1.5167681748850282e-131,6.785851752724107e-131,-0.0006403801654245051,0.0,0.0
446,cMono,NKX3-1,5.516837970844447e-122,2.076124536731214e-121,-0.0009693869085125508,0.007974243843209,0.2085890682780669
447,cMono,NKX3-2,1.773381464363263e-102,4.6064664866996954e-102,-0.0010477523628086467,0.0,0.0
448,cMono,NKX6-1,0.026954944500744496,0.028338613912431282,0.00021175862820806048,0.0,0.0
449,cMono,NKX6-2,4.255805831493054e-31,5.547653868470137e-31,0.0005903697219985585,0.0,0.0
450,cMono,NKX6-3,8.558329763917701e-21,1.045254724606921e-20,0.0005100060784556416,-0.0198085097638084,0.0004409212541954
451,cMono,NOBOX,0.004712158188269487,0.004998454651899405,0.00011484198066988652,0.0,0.0
452,cMono,NOTO,0.00026785400710464406,0.0002881459773398444,0.0001539831009375334,0.0,0.0
453,cMono,NPAS2,5.494840078337428e-31,7.154039955292616e-31,-0.0004861278502388353,0.0063225441398554,0.3432275597107159
